epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.763,3.38325,2.81054,1.57945,0.03363,0.09852,0.01116,0.0028,3.66886,2.8595,1.49058,0.000657534,0.000657534,0.000657534
2,275.909,2.99519,2.22974,1.28345,0.06515,0.18727,0.0254,0.00568,3.53456,2.28942,1.29564,0.00130235,0.00130235,0.00130235
3,415.801,2.87125,2.0797,1.2367,0.11333,0.17894,0.04387,0.0105,3.48026,2.24828,1.18674,0.00192517,0.00192517,0.00192517
4,553.326,2.80421,2.02841,1.21924,0.13089,0.16424,0.05238,0.01271,3.45806,2.12361,1.20215,0.001901,0.001901,0.001901
5,690.662,2.78573,1.97583,1.1964,0.17078,0.2033,0.07745,0.01827,3.28178,2.03968,1.19866,0.001868,0.001868,0.001868
6,829.904,2.73431,1.94788,1.18445,0.12739,0.17669,0.05303,0.01196,3.3572,2.10086,1.26411,0.001835,0.001835,0.001835
7,969.664,2.68986,1.92649,1.15988,0.12453,0.22537,0.06381,0.0154,3.46304,1.99408,1.21777,0.001802,0.001802,0.001802
8,1108.75,2.62337,1.88399,1.15733,0.21822,0.25108,0.12149,0.02959,3.13919,1.90934,1.13807,0.001769,0.001769,0.001769
9,1257.13,2.61883,1.8472,1.14911,0.09519,0.13202,0.03635,0.01131,3.30317,2.38487,1.14269,0.001736,0.001736,0.001736
10,1713.7,2.66101,1.90171,1.15016,0.143,0.19684,0.06352,0.01393,3.36503,2.02364,1.22337,0.001703,0.001703,0.001703
11,2332.23,2.59884,1.85558,1.14756,0.20469,0.24859,0.10946,0.02546,3.19681,1.90382,1.14267,0.00167,0.00167,0.00167
12,2468.25,2.57862,1.82684,1.13495,0.21932,0.25912,0.11914,0.02777,3.16915,1.82338,1.1614,0.001637,0.001637,0.001637
13,2601.89,2.55875,1.81117,1.13983,0.15431,0.21187,0.08009,0.02477,3.03072,2.09223,1.0891,0.001604,0.001604,0.001604
14,2740.03,2.52449,1.78087,1.12329,0.22973,0.2831,0.13669,0.03293,3.08554,1.94265,1.14082,0.001571,0.001571,0.001571
15,2879.33,2.53904,1.78321,1.11867,0.11143,0.23591,0.04886,0.01099,3.25061,2.25336,1.19039,0.001538,0.001538,0.001538
16,5460.97,2.55914,1.7875,1.12127,0.22334,0.27563,0.13186,0.03502,3.0195,1.86713,1.10856,0.001505,0.001505,0.001505
17,5597.14,2.50985,1.80266,1.12847,0.19636,0.27798,0.11662,0.0269,3.16623,1.89338,1.14231,0.001472,0.001472,0.001472
18,5734.61,2.52038,1.78775,1.11681,0.22443,0.2718,0.12688,0.03208,3.10133,1.87162,1.13629,0.001439,0.001439,0.001439
19,5866.84,2.48798,1.75226,1.12194,0.24946,0.30383,0.15449,0.03854,3.04906,1.82906,1.16268,0.001406,0.001406,0.001406
20,6333.09,2.4922,1.76349,1.11188,0.23107,0.2842,0.14306,0.03888,2.92138,1.86032,1.05943,0.001373,0.001373,0.001373
